transaction_id,merchant_id,payment_method,amount_inr,hour_of_day,merchant_txn_count_7d,merchant_avg_amount_7d,device_risk_score,is_new_merchant,is_fraud
txn_000000,merch_0022,upi,870.69,4,199,1106.8,0.0873,0,0
txn_000001,merch_0169,upi,430.87,18,28,493.94,0.0802,0,0
txn_000002,merch_0137,wallet,894.0,13,24,651.21,0.0643,0,0
txn_000003,merch_0159,card,2029.49,14,29,2714.02,0.444,1,0
txn_000004,merch_0106,upi,13540.53,9,30,10190.61,0.2857,1,0
txn_000005,merch_0180,card,2822.93,21,24,2539.73,0.0396,0,0
txn_000006,merch_0157,upi,1300.67,10,29,1735.69,0.0928,0,0
txn_000007,merch_0038,wallet,369.73,12,23,227.29,0.091,0,0
txn_000008,merch_0158,card,188.69,16,25,225.8,0.2645,0,0
txn_000009,merch_0081,upi,2457.34,11,27,1571.6,0.1144,0,0
txn_000010,merch_0099,card,535.43,17,43,909.42,0.3995,1,0
txn_000011,merch_0001,upi,787.76,21,39,916.25,0.2442,0,0
txn_000012,merch_0076,wallet,1137.79,23,35,1275.63,0.0663,0,0
txn_000013,merch_0011,upi,750.49,16,9,684.91,0.1236,0,0
txn_000014,merch_0038,card,10.0,16,26,224.81,0.4239,0,0
txn_000015,merch_0193,upi,302.73,8,18,252.28,0.3207,0,0
txn_000016,merch_0012,card,1388.0,12,30,1583.24,0.1622,1,0
txn_000017,merch_0045,netbanking,528.02,21,19,409.65,0.4613,0,0
txn_000018,merch_0154,card,1933.14,11,20,1358.46,0.1186,0,0
txn_000019,merch_0112,card,1323.96,2,26,1221.95,0.0398,0,0
txn_000020,merch_0016,wallet,12.83,8,20,371.61,0.1973,0,0
txn_000021,merch_0103,upi,229.78,2,28,436.93,0.051,0,0
txn_000022,merch_0097,upi,1710.04,12,39,1592.37,0.2847,0,0
txn_000023,merch_0187,upi,1104.7,18,22,1052.66,0.1717,0,0
txn_000024,merch_0191,wallet,1731.12,15,27,3161.79,0.3,0,0
txn_000025,merch_0087,upi,1995.84,20,26,1479.42,0.2613,0,0
txn_000026,merch_0108,netbanking,1338.11,15,13,1646.26,0.1317,0,0
txn_000027,merch_0162,card,6583.41,20,23,4505.16,0.3233,0,0
txn_000028,merch_0069,upi,841.36,14,22,578.22,0.1915,0,0
txn_000029,merch_0157,upi,2239.96,7,29,1686.09,0.0265,0,0
txn_000030,merch_0198,upi,1542.84,21,28,1104.88,0.1124,1,0
txn_000031,merch_0073,upi,5702.9,10,145,6307.67,0.0335,1,1
txn_000032,merch_0062,upi,440.48,17,30,322.06,0.3128,0,0
txn_000033,merch_0155,upi,513.46,15,21,509.72,0.1224,0,0
txn_000034,merch_0059,netbanking,3212.45,6,35,3825.29,0.0452,0,0
txn_000035,merch_0078,wallet,747.37,0,13,1289.89,0.0329,0,0
txn_000036,merch_0036,upi,1015.58,16,26,1242.71,0.2512,0,0
txn_000037,merch_0021,upi,343.38,20,32,812.77,0.3589,0,0
txn_000038,merch_0195,upi,2438.51,14,26,1848.12,0.0958,0,0
txn_000039,merch_0147,card,369.6,14,24,215.47,0.0134,0,0
txn_000040,merch_0095,netbanking,259.7,16,30,201.76,0.3294,1,0
txn_000041,merch_0067,upi,8686.47,9,24,3421.01,0.1848,0,0
txn_000042,merch_0191,upi,2287.03,23,28,3104.65,0.1843,0,0
txn_000043,merch_0016,netbanking,418.1,8,13,311.06,0.2714,0,0
txn_000044,merch_0011,card,196.65,18,12,706.41,0.3152,0,0
txn_000045,merch_0149,upi,1459.22,16,36,1539.09,0.9885,0,0
txn_000046,merch_0144,card,173.53,10,18,1402.09,0.0009,0,0
txn_000047,merch_0137,upi,895.79,13,17,646.08,0.2845,0,0
txn_000048,merch_0117,upi,221.45,18,28,241.08,0.1183,0,0
txn_000049,merch_0192,netbanking,10.0,13,37,1445.48,0.0462,1,0
txn_000050,merch_0021,netbanking,531.99,13,176,886.84,0.0761,0,0
txn_000051,merch_0119,upi,5539.43,13,20,3072.07,0.0283,0,0
txn_000052,merch_0049,wallet,156.45,18,220,136.04,0.1028,1,1
txn_000053,merch_0013,upi,141.34,12,14,116.38,0.2343,0,0
txn_000054,merch_0191,netbanking,3276.66,14,21,3174.77,0.0745,0,0
txn_000055,merch_0174,card,1388.34,19,13,1713.03,0.1087,1,0
txn_000056,merch_0028,wallet,536.49,20,26,501.77,0.184,0,0
txn_000057,merch_0163,wallet,464.17,17,24,422.28,0.9444,0,0
txn_000058,merch_0179,upi,13658.06,12,28,32644.06,0.1378,0,0
txn_000059,merch_0124,wallet,3205.0,22,19,1889.79,0.1028,0,0
txn_000060,merch_0006,netbanking,11516.74,10,27,6794.54,0.1736,0,0
txn_000061,merch_0028,netbanking,494.17,2,26,574.79,0.273,0,0
txn_000062,merch_0138,upi,2098.07,1,28,2884.64,0.1308,1,0
txn_000063,merch_0032,netbanking,773.5,10,26,971.67,0.3471,0,0
txn_000064,merch_0133,netbanking,3481.36,21,20,1977.48,0.1951,0,0
txn_000065,merch_0110,upi,90.38,13,14,110.17,0.0351,0,0
txn_000066,merch_0078,wallet,1479.92,19,15,1207.43,0.0266,0,0
txn_000067,merch_0159,upi,2256.27,12,26,2296.69,0.0607,1,0
txn_000068,merch_0178,upi,711.86,22,20,691.09,0.1607,1,0
txn_000069,merch_0057,card,484.49,10,26,780.32,0.0669,0,0
txn_000070,merch_0025,card,707.41,7,31,1259.25,0.0309,0,0
txn_000071,merch_0173,card,2098.69,18,25,1693.7,0.055,0,0
txn_000072,merch_0028,upi,335.35,17,19,453.76,0.0652,0,0
