transaction_id,merchant_id,payment_method,amount_inr,hour_of_day,merchant_txn_count_7d,merchant_avg_amount_7d,device_risk_score,is_new_merchant,is_fraud,predicted_prob,predicted_label,actual_label,error_type
txn_004252,merch_0064,card,6228.19,11,27,3035.7,0.048,0,1,0.027120814,0,1,false_negative
txn_006685,merch_0166,upi,4106.96,4,119,3126.07,0.238,0,0,0.9585487,1,0,false_positive
txn_000435,merch_0118,upi,4739.36,13,22,4108.53,0.8799,1,0,0.7720189,1,0,false_positive
txn_002321,merch_0140,upi,1067.05,11,144,1274.3,0.0179,0,0,0.7914143,1,0,false_positive
txn_002326,merch_0055,card,1024.02,2,233,3491.11,0.0784,0,1,0.34466746,0,1,false_negative
txn_000911,merch_0115,card,2188.2,9,15,1679.65,0.9479,1,1,0.36567357,0,1,false_negative
txn_000619,merch_0140,upi,1570.48,20,103,1382.55,0.2336,0,1,0.38459587,0,1,false_negative
txn_006215,merch_0179,upi,46306.84,7,39,31234.81,0.0721,0,0,0.5196322,1,0,false_positive
txn_001956,merch_0064,wallet,7869.79,13,28,2613.17,0.2029,0,1,0.05079117,0,1,false_negative
txn_005224,merch_0095,card,233.98,16,235,182.96,0.0412,1,0,0.6207881,1,0,false_positive
txn_004778,merch_0140,upi,1646.43,2,118,1266.27,0.0587,0,0,0.9512842,1,0,false_positive
txn_004831,merch_0060,upi,529.41,20,32,580.15,0.0739,0,1,0.055516176,0,1,false_negative
txn_001943,merch_0099,netbanking,189.48,12,212,817.42,0.5205,1,0,0.71483564,1,0,false_positive
txn_007208,merch_0163,card,10.0,11,129,366.05,0.0049,0,0,0.5406341,1,0,false_positive
txn_001717,merch_0007,wallet,2580.3,11,206,2604.71,0.0614,0,0,0.77496594,1,0,false_positive
txn_004465,merch_0129,wallet,633.91,16,132,592.17,0.052,0,0,0.6660146,1,0,false_positive
txn_000255,merch_0054,upi,3590.65,18,23,3619.21,0.0398,0,1,0.023977999,0,1,false_negative
txn_002349,merch_0024,card,602.38,21,21,520.28,0.8415,1,1,0.46246508,0,1,false_negative
txn_005421,merch_0061,netbanking,587.77,12,34,841.27,0.1851,1,1,0.002031106,0,1,false_negative
txn_000801,merch_0011,upi,645.28,8,96,534.14,0.8237,0,0,0.9470579,1,0,false_positive
txn_002263,merch_0159,card,2887.27,10,224,2403.31,0.0227,1,1,0.23489806,0,1,false_negative
txn_000136,merch_0023,netbanking,230.75,4,176,176.61,0.167,0,0,0.921193,1,0,false_positive
txn_004534,merch_0193,wallet,407.8,16,128,216.25,0.0868,0,0,0.51990277,1,0,false_positive
txn_004953,merch_0107,upi,1493.71,11,38,1199.23,0.6129,1,0,0.5998881,1,0,false_positive
txn_004682,merch_0103,card,122.7,16,25,468.35,0.2345,0,1,0.091479175,0,1,false_negative
txn_005101,merch_0049,card,58.22,10,196,119.93,0.5647,1,0,0.8197396,1,0,false_positive
txn_000742,merch_0105,netbanking,2514.04,9,19,1731.82,0.013,0,1,0.01289736,0,1,false_negative
txn_001095,merch_0045,upi,743.06,9,92,418.37,0.0779,0,0,0.88585544,1,0,false_positive
txn_003912,merch_0007,netbanking,2670.87,10,25,3061.63,0.2785,0,1,0.13850746,0,1,false_negative
txn_007146,merch_0058,card,293.96,11,20,1636.65,0.0669,1,1,0.018007914,0,1,false_negative
txn_004311,merch_0005,card,883.89,3,28,915.4,0.0633,0,1,0.020493101,0,1,false_negative
txn_005158,merch_0075,upi,3056.46,6,30,3046.6,0.9282,0,0,0.78659546,1,0,false_positive
txn_006018,merch_0194,upi,943.62,4,22,1298.47,0.2835,0,0,0.71067435,1,0,false_positive
txn_001249,merch_0046,upi,866.44,19,90,600.37,0.0335,0,0,0.5047635,1,0,false_positive
txn_000788,merch_0189,upi,210.69,14,16,170.45,0.336,0,0,0.8259991,1,0,false_positive
txn_007421,merch_0082,upi,4188.03,18,51,5540.86,0.0865,1,0,0.5425042,1,0,false_positive
txn_003628,merch_0020,netbanking,7846.78,16,25,6589.03,0.1717,0,1,0.033706956,0,1,false_negative
txn_002458,merch_0185,netbanking,3957.91,11,127,2676.86,0.1132,1,0,0.657417,1,0,false_positive
txn_002433,merch_0152,upi,488.9,11,206,434.12,0.3429,0,0,0.80423844,1,0,false_positive
txn_004473,merch_0044,upi,281.98,16,18,164.01,0.1178,0,0,0.70565593,1,0,false_positive
txn_002853,merch_0048,card,1393.68,16,207,1617.19,0.2872,0,0,0.723048,1,0,false_positive
txn_002393,merch_0148,card,1034.27,8,17,2129.57,0.2914,0,1,0.022626884,0,1,false_negative
txn_004706,merch_0122,card,4137.04,11,160,5128.27,0.079,1,1,0.42271233,0,1,false_negative
txn_007154,merch_0067,wallet,4820.11,14,19,4188.57,0.2519,0,1,0.023585586,0,1,false_negative
txn_006692,merch_0070,card,1635.24,9,23,1514.35,0.6265,0,0,0.7761301,1,0,false_positive
txn_000997,merch_0086,upi,2506.63,12,28,2973.57,0.8764,1,0,0.9498908,1,0,false_positive
txn_001352,merch_0119,upi,3078.22,6,35,2672.09,0.2428,0,0,0.50352085,1,0,false_positive
txn_003839,merch_0140,upi,2431.13,16,13,1647.63,0.9374,0,0,0.6521028,1,0,false_positive
txn_000265,merch_0081,card,1926.3,8,216,1610.81,0.1428,0,0,0.7963544,1,0,false_positive
txn_007447,merch_0012,upi,10.0,13,27,1445.18,0.8705,1,1,0.083352,0,1,false_negative
txn_000673,merch_0034,netbanking,3519.73,13,204,3191.04,0.1321,1,0,0.6011468,1,0,false_positive
txn_001727,merch_0014,upi,76.34,8,32,136.56,0.1901,0,0,0.5977229,1,0,false_positive
txn_006267,merch_0064,upi,8938.69,13,27,2747.17,0.1306,0,1,0.081128895,0,1,false_negative
txn_002074,merch_0100,upi,163.07,11,14,181.74,0.237,0,0,0.53429765,1,0,false_positive
txn_004710,merch_0030,upi,134.27,13,207,587.0,0.1139,1,1,0.46713382,0,1,false_negative
txn_006814,merch_0021,wallet,822.15,6,284,881.06,0.0562,0,0,0.60538733,1,0,false_positive
txn_003500,merch_0073,card,4716.5,17,27,6153.97,0.1713,1,1,0.011005637,0,1,false_negative
txn_005811,merch_0096,upi,257.55,15,224,1450.7,0.1704,1,0,0.8732872,1,0,false_positive
txn_003544,merch_0026,upi,11.73,20,224,268.44,0.1027,0,0,0.5531332,1,0,false_positive
txn_002143,merch_0030,wallet,1105.35,15,187,488.4,0.1341,1,1,0.23925911,0,1,false_negative
txn_006531,merch_0048,netbanking,1416.19,18,37,1643.83,0.3909,0,1,0.008565957,0,1,false_negative
txn_005102,merch_0011,card,1216.19,15,9,621.71,0.2476,0,1,0.093830094,0,1,false_negative
txn_001461,merch_0088,card,693.95,11,13,596.34,0.4237,0,1,0.036364425,0,1,false_negative
txn_004201,merch_0053,upi,1556.55,18,28,2179.2,0.8312,0,0,0.62023115,1,0,false_positive
txn_003935,merch_0054,upi,2092.05,12,26,3219.96,0.1986,0,0,0.518737,1,0,false_positive
txn_002111,merch_0142,card,109.95,13,168,142.48,0.2365,1,0,0.75880367,1,0,false_positive
txn_002256,merch_0189,upi,100.19,11,18,160.93,0.1417,0,0,0.6074415,1,0,false_positive
txn_000700,merch_0122,upi,6119.55,7,33,6493.41,0.1757,1,0,0.5255829,1,0,false_positive
txn_005145,merch_0012,wallet,878.06,1,26,1354.12,0.8432,1,1,0.19402017,0,1,false_negative
txn_002819,merch_0100,upi,79.37,9,6,176.57,0.2856,0,0,0.6218041,1,0,false_positive
txn_005916,merch_0111,upi,1642.15,9,21,1097.17,0.9152,0,0,0.68259233,1,0,false_positive
txn_000918,merch_0198,upi,1836.63,15,25,1166.91,0.0111,1,1,0.01922412,0,1,false_negative
txn_005309,merch_0161,upi,1766.74,9,11,3003.07,0.1424,0,1,0.16187772,0,1,false_negative
txn_003842,merch_0133,upi,1151.33,6,20,1823.95,0.9087,0,0,0.5518115,1,0,false_positive
txn_005034,merch_0176,upi,2377.71,21,167,1119.15,0.1048,1,1,0.25044465,0,1,false_negative
txn_005956,merch_0153,upi,3087.27,8,247,1239.77,0.2235,0,1,0.36822864,0,1,false_negative
txn_006191,merch_0050,upi,1723.31,17,15,1614.86,0.3044,0,0,0.50320363,1,0,false_positive
txn_006508,merch_0033,card,305.51,14,161,285.76,0.0432,0,0,0.9407835,1,0,false_positive
txn_006806,merch_0080,upi,1678.94,11,17,915.03,0.2427,1,1,0.1021371,0,1,false_negative
txn_002346,merch_0016,netbanking,198.36,17,106,367.79,0.1456,0,1,0.42707282,0,1,false_negative
